1,Acetylated tubulin (stains ciliated epithelial cells),6-11B-1,none,Sigma,T6793,-20 Freezer door (#2),1/12/2013,
2,Avidin/biotin blocking kit,,,Vector,sp2001,1245 Deli fridge ,,
3,Biotin-Rat IgG1 ,,Isotype CO,eBiosciences,13-4301-81,Cinderella,,
4,Bovine Serum albumin,,,Vector,SP5050,1245 Deli fridge ,,
5,CCR6/CD196 Mouse anti-human,11A9,Biotin,BD biosciences,559561,1245 Deli fridge ,2013,
6,CD3,SP-34,FITC,BD Pharmigen,556611,Cinderella,10/2/2005,
7,Chicken anti-goat,,Alexa 488,Invitrogen,A21467,Cinderella,,
8,Cleaved Caspase-3 (stains apoptotic cells),ASP175,none,Cell signaling,9661L,1245 Sanyo Rack 6 box 16,12/13/2013,
9,DAB peroxidase substrate kit,,,Vector,sk4100,,,
10,Donkey anti-goat,,Alexa 488,Invitrogen,A11055,Cinderella,7/4/2013,
11,Donkey anti-goat,,Alexa 488,Invitrogen,,,2009,
12,Donkey anti-goat ,,Alexa 488,Molecular Probes,,,,from Hyde lab
13,Donkey anti-goat IgG ,,none,Chemicon,AP180,Cinderella,,
14,Donkey anti-goat IgG-B,,,Santa Cruz Biotech,sc-2042,Cinderella,,
15,Donkey anti-mouse,,Alexa 488,Invitrogen,A10037,Cinderella,,
16,Donkey anti-mouse,,Alexa 568,Invitrogen,,,2009,
17,Donkey anti-mouse IgG,,Alexa 488,Invitrogen,A21202,1245 Deli fridge (in box marked MBP antibodies_,,
18,Donkey anti-mouse IgG (H+L),,,Molecular Probes,,,2007,
19,EGFR ,goat poly,Biotin,R&D,BAF231,Cinderella (1 aliquot other aliquots in -80),7/14/2014,
20,Elderberry bark lectin (stains sialic acids that bind influenza),,Biotin,vector,B1305,Cinderella,2012,
21,FITC rabbit IgG ,,Alexa 488,Invitrogen,A11090,Cinderella,,
22,Fluorescein/Oregon green rabbit IgG,,Alexa 488,Molecular Probes,,,,
23,Goat anti-human IgE,,Biotin,Bethyl,A800-188B,Cinderella,,
24,Goat anti-human IgE biotinylated,,Biotin,Bethyl,A80-108B,Western Blot Fridge,5/10/2016,
25,Goat anti-mouse  IgG,,Alexa 488,Invitrogen,A11029,1245 Deli fridge (in box marked MBP antibodies_,,
26,Goat anti-mouse hrp,,HRP,Invitrogen,G21040,Cinderella,,
27,Goat anti-rabbit,,Alexa 568,,,,2003,
28,Goat anti-rabbit (Fab2 fragment),poly,FITC,SCBT,SC-3839,Cinderella,,lot K0111
29,Goat anti-rabbit (Fab2 fragment),poly,Texas Red,SCBT,sc-3842,Cinderella,,lot A1410
30,Goat anti-rabbit (Fab2 fragment),,Alexa 488,Invitrogen,,,,
31,Goat anti-rabbit biotin aliquots,,Biotin,,,1245 Sanyo Rack 6 box 16,8/8/2013,
32,Goat anti-human HIN-1(SCGB3A1),Polyclonal,NC,abcam,ab92350,Sleeping Beauty,06.24.19,
33,IFNg (anti-human) - clone tested (not as good as 129-S),1-D1-K,Biotin,Mabtech,test aliquot,Cinderella,Rec'd 4/9/2014,
34,IFNg (anti-human) - clone used for paraffin staining,129-S,Biotin,Mabtech,test aliquot,Cinderella,Rec'd 4/9/2014,
35,IFNg (anti-human) - untested,7-B6-1,Biotin,Mabtech,test aliquot,Cinderella,Rec'd 4/9/2014,
36,IFNg (anti-human) - untested,1C4,Biotin,Mabtech,test aliquot,Cinderella,Rec'd 4/9/2014,
37,IFNg (anti-human) - untested,G23,Biotin,Mabtech,test aliquot,Cinderella,Rec'd 4/9/2014,
38,IFNg (anti-human) - untested,111-W,Biotin,Mabtech,test aliquot,Cinderella,Rec'd 4/9/2014,
39,IFNg (anti-human) - untested,126-L,Biotin,Mabtech,test aliquot,Cinderella,Rec'd 4/9/2014,
40,IgD Goat anti-human ,poly,FITC,Southern Biotech,2030-02,Cinderella,2009,
41,IL-1apha (Mouse anti-human),364/3B3-14,Biotin,eBioscience,11-7118-41,Cinderella,,
42, IL-5Ralpha (goat anti-human),,biotin,R&D Systems,,,2011,
43,IL8,,biotin,ebio,,Cinderella,,
44,Keratin-14  ,LL02,,neomarkers,ms-115-po,Cinderella,,
45,Maackia amurensis lectin I (stains sialic acids that bind influenza),,Biotin,vector,B1315,Cinderella,,
46,MBP (mouse anti-human for eosinophil staining),BMK-13,none,Millipore,CBL419,Cinderella,,
47,MCP-1  anti-human,503-F7,biotin,,,,,
48,MISC associated supplies,,,,,,,
49,Mouse IgG,,,Vector ,I-2000,,,
50,Mouse IgG1 ,15H6,biotin,Southern Biotech,,,,
51,Mouse IgG1 isotype,MOPC21,,Biolegend,,,,
52,Mouse IgG1 ? Isotype Ctrl Antibody,MOPC-21,Biotin,Biolegend,400103,Cinderella,,
53,Mouse IgG1 ? Isotype Ctrl Antibody,MOPC-21,none,?,,Cinderella,1996,more in freezer
54,Mouse IgG2a isotype control,MOPC173,,Biolegend,,,,
55,neuraminidase vibrio cholerae,,,Calbiochem,4807171,Cinderella,,
56,Normal Horse Serum,,,Vector,S2000,1245 Deli fridge ,,
57,PGRP-L PGLYRP2,B-4,none,Santa Cruz Biotech,sc166646,Cinderella,,
58,Rat IgG1 isotype,eBRG1,,ebio,,,,
59,Streptavidin (2 mg/ml in PBS),,Aexa 488,,,,thawed 2014,more aliquots in freezer
60,Streptavidin Alexa 568,,Alexa 568,,,,,
61,Streptavidin-Alexa 488,,Alexa 488,Invitrogen,S32354,Cinderella & small wht box in  TC freezer,3/10/2013,
62,TGFb2 (from Melinda),rabbit poly,none,Santa Cruz Biotech,sc-90,Cinderella,,
63,TGFbeta2 (V)    rabbit anti-human  IgG),poly,,Santa Cruz Biotech,,,,
64,TIRAP,rabbit poly,,Thermo,,,,
65,TSLP,poly,Biotin,R&D Systems,BAF1398,sanyo 1245 Rack 7 box19,,
66,Vectastain alkaline phosphate goat IgG,,,Vector,ak-5005,1245 Deli fridge (white box),10/8/2012,
67,XCL1/Lymphotactin,poly,none,R&D Systems,AF486,1245 -80 freezer,10/16/2013,
68,XCL1/Lymphotactin,poly,none,,,Cinderella,,aliquots in eppendorf tubes
69,IL-22Ra1 (rabbit anti-mouse/rat/human),rabbit poly,none,Bioss USA,bs-2624r,Sleeping Beauty,,
