1,Secondary Ab,Small refrig next to Taqman hood in 1243,,21130,Pierce, High sensitive HRP,KM Western Stuff,
3,Secondary Ab,Small refrig next to Taqman hood in 1243,,21845,Thermo,Strep Daylight 649,KM Western Stuff,
4,IL-22ra1 primary Ab,Cinderella,goat anti human,BAF2770,R&D,polyclonal 1 aliquot,Labeled for WB only,
5,IL-22ra1 primary Ab,Cinderella,Mouse anti human,sc-134366 (3-RE40),Santa Cruz,Monoclonal 5 Aliquots,Labeled for WB only,
16,Secondary Ab HRP,Cinderella,Goat anti Mouse,31432,Thermo,HRP-Conjugated 5 Aliquots,,
17,HRP Conjugated anti-Rabbit IgG,-20 1245,,18-8816-31,e-Bioscience,1 Aliquot,JF Western Stuff,
18,phospho Jak1 (Tyr 1022/1023),-20 1245,,3331S,Cell Signaling,2 Aliquots,JF Western Stuff,
19,phospho Jak2 (Tyr 1007/1008),-20 1245,Rabbit mAb,3776S,Cell Signaling,1 Aliquot,JF Western Stuff,
20,Jak1,-20 1245,Rabbit mAb,3344,Cell Signaling,1 Aliquot,JF Western Stuff,
21,Tubulin alpha-beta,,,2148,Cell Signaling,2 Aliquots,JF Western Stuff,
